date,price
2025-12-17,8.420000076293945
2025-12-18,8.656000137329102
2025-12-19,8.699999809265137
2025-12-22,8.880000114440918
2025-12-23,8.739999771118164
2025-12-24,8.770000457763672
2025-12-26,8.75
2025-12-29,8.739999771118164
2025-12-30,8.680000305175781
2025-12-31,8.770000457763672
2026-01-02,8.460000038146973
2026-01-05,8.720000267028809
2026-01-06,8.8100004196167
2026-01-07,8.789999961853027
2026-01-08,9.140000343322754
2026-01-09,8.850000381469727
2026-01-12,8.729999542236328
2026-01-13,8.720999717712402
2026-01-14,9.039999961853027
2026-01-15,9.479999542236328
2026-01-16,9.800000190734863
2026-01-20,10.239999771118164
2026-01-21,10.069999694824219
2026-01-22,10.0
2026-01-23,10.359999656677246
2026-01-26,10.979999542236328
2026-01-27,11.260000228881836
2026-01-28,11.010000228881836
2026-01-29,11.479999542236328
2026-01-30,11.529999732971191
2026-02-02,11.199999809265137
2026-02-03,10.550000190734863
2026-02-04,10.850000381469727
2026-02-05,10.710000038146973
2026-02-06,10.649999618530273
2026-02-09,10.949999809265137
2026-02-10,11.180000305175781
2026-02-11,11.4399995803833
2026-02-12,11.300000190734863
2026-02-13,11.489999771118164
2026-02-17,11.680000305175781
2026-02-18,11.760000228881836
2026-02-19,11.65999984741211
2026-02-20,11.729999542236328
2026-02-23,11.770000457763672
2026-02-24,11.869999885559082
2026-02-25,11.680000305175781
2026-02-26,11.90999984741211
2026-02-27,12.069999694824219
2026-03-02,12.220000267028809
2026-03-03,12.5
2026-03-04,11.90999984741211
2026-03-05,11.520000457763672
2026-03-06,10.460000038146973
2026-03-09,10.260000228881836
2026-03-10,10.229999542236328
2026-03-11,10.699999809265137
2026-03-12,10.399999618530273
2026-03-13,10.489999771118164
2026-03-16,10.670000076293945
2026-03-17,10.430000305175781
2026-03-18,10.699999809265137
2026-03-19,10.020000457763672
2026-03-20,10.010000228881836
2026-03-23,9.989999771118164
2026-03-24,9.800000190734863
2026-03-25,10.0
2026-03-26,10.0
2026-03-27,9.930000305175781
2026-03-30,9.9399995803833
2026-03-31,9.970000267028809
2026-04-01,10.324999809265137
2026-04-02,10.449999809265137
2026-04-06,9.9399995803833
2026-04-07,10.4399995803833
2026-04-08,10.600000381469727
2026-04-09,10.300000190734863
2026-04-10,10.699999809265137
2026-04-13,11.0600004196167
2026-04-14,11.420000076293945
2026-04-15,11.399999618530273
2026-04-16,11.130000114440918
2026-04-17,11.4399995803833
2026-04-20,11.303999900817871
2026-04-21,11.350000381469727
2026-04-22,11.399999618530273
2026-04-23,11.34000015258789
2026-04-24,10.899999618530273
2026-04-27,11.270000457763672
2026-04-28,11.449999809265137
