date,price
2025-12-30,296.70001220703125
2025-12-31,294.5
2026-01-02,291.0
2026-01-05,294.8999938964844
2026-01-06,294.70001220703125
2026-01-07,301.5
2026-01-08,300.3999938964844
2026-01-09,300.0
2026-01-12,294.6000061035156
2026-01-13,286.3999938964844
2026-01-14,287.20001220703125
2026-01-15,289.20001220703125
2026-01-16,290.0
2026-01-20,291.6000061035156
2026-01-21,291.3999938964844
2026-01-22,296.20001220703125
2026-01-23,299.8999938964844
2026-01-26,294.29998779296875
2026-01-27,294.0
2026-01-28,297.79998779296875
2026-01-29,296.0
2026-01-30,293.6000061035156
2026-02-02,294.5
2026-02-03,291.8999938964844
2026-02-04,296.20001220703125
2026-02-05,303.20001220703125
2026-02-06,303.6000061035156
2026-02-09,297.79998779296875
2026-02-10,300.79998779296875
2026-02-11,303.0
2026-02-12,307.8999938964844
2026-02-13,309.20001220703125
2026-02-17,305.79998779296875
2026-02-18,303.8999938964844
2026-02-19,304.79998779296875
2026-02-20,309.79998779296875
2026-02-23,308.70001220703125
2026-02-24,310.70001220703125
2026-02-25,318.29998779296875
2026-02-26,317.6000061035156
2026-02-27,315.5
2026-03-02,308.29998779296875
2026-03-03,310.5
2026-03-04,306.1000061035156
2026-03-05,305.6000061035156
2026-03-06,313.1000061035156
2026-03-09,308.79998779296875
2026-03-10,311.79998779296875
2026-03-11,316.3999938964844
2026-03-12,319.8999938964844
2026-03-13,319.8999938964844
2026-03-16,312.20001220703125
2026-03-17,311.70001220703125
2026-03-18,321.70001220703125
2026-03-19,332.5
2026-03-20,328.0
2026-03-23,326.6000061035156
2026-03-24,322.3999938964844
2026-03-25,319.79998779296875
2026-03-26,322.1000061035156
2026-03-27,315.29998779296875
2026-03-30,314.8999938964844
2026-03-31,316.3999938964844
2026-04-01,318.20001220703125
2026-04-02,315.20001220703125
2026-04-06,316.6000061035156
2026-04-07,311.79998779296875
2026-04-08,314.1000061035156
2026-04-09,317.6000061035156
2026-04-10,331.79998779296875
2026-04-13,331.8999938964844
2026-04-14,329.70001220703125
2026-04-15,334.3999938964844
2026-04-16,332.70001220703125
2026-04-17,331.79998779296875
2026-04-20,325.1000061035156
2026-04-21,325.29998779296875
2026-04-22,320.6000061035156
2026-04-23,320.6000061035156
2026-04-24,324.29998779296875
2026-04-27,333.79998779296875
2026-04-28,333.3999938964844
2026-04-29,328.0
2026-04-30,322.29998779296875
2026-05-01,320.79998779296875
2026-05-04,320.70001220703125
2026-05-05,322.6000061035156
2026-05-06,319.79998779296875
2026-05-07,321.29998779296875
2026-05-08,317.70001220703125
